/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /pytorch/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
/geode2/home/u080/skarukas/Carbonate/SITH/models/logpolar/lptransform.py:156: UserWarning: Use of index_put_ on expanded tensors is deprecated. Please clone() the tensor before performing this operation. This also applies to advanced indexing e.g. tensor[indices] = tensor (Triggered internally at  /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:395.)
  tau[tau <= 0] = 0
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)

Batch:   1%|          | 16/1875 [00:26<50:38,  1.63s/it, train_loss=2.3, train_acc=0, avg_tr_acc=0.0918, avg_tr_loss=2.46][A
Batch:   1%|          | 16/1875 [00:28<50:38,  1.63s/it, train_loss=2.34, train_acc=0.0312, avg_tr_acc=0.0882, avg_tr_loss=2.45][A
Batch:   1%|          | 17/1875 [00:28<50:36,  1.63s/it, train_loss=2.34, train_acc=0.0312, avg_tr_acc=0.0882, avg_tr_loss=2.45][A
Batch:   1%|          | 17/1875 [00:29<50:36,  1.63s/it, train_loss=2.35, train_acc=0.0625, avg_tr_acc=0.0868, avg_tr_loss=2.44][A
Batch:   1%|          | 18/1875 [00:29<50:31,  1.63s/it, train_loss=2.35, train_acc=0.0625, avg_tr_acc=0.0868, avg_tr_loss=2.44][A
Batch:   1%|          | 18/1875 [00:31<50:31,  1.63s/it, train_loss=2.33, train_acc=0.188, avg_tr_acc=0.0921, avg_tr_loss=2.44] [A
Batch:   1%|1         | 19/1875 [00:31<50:29,  1.63s/it, train_loss=2.33, train_acc=0.188, avg_tr_acc=0.0921, avg_tr_loss=2.44][A
Batch:   1%|1         | 19/1875 [00:33<50:29,  1.63s/it, train_loss=2.32, train_acc=0.0938, avg_tr_acc=0.0922, avg_tr_loss=2.43][A
Batch:   1%|1         | 20/1875 [00:33<50:24,  1.63s/it, train_loss=2.32, train_acc=0.0938, avg_tr_acc=0.0922, avg_tr_loss=2.43][A
Batch:   1%|1         | 20/1875 [00:34<50:24,  1.63s/it, train_loss=2.26, train_acc=0.156, avg_tr_acc=0.0952, avg_tr_loss=2.42] [A
Batch:   1%|1         | 21/1875 [00:34<50:22,  1.63s/it, train_loss=2.26, train_acc=0.156, avg_tr_acc=0.0952, avg_tr_loss=2.42][A
Batch:   1%|1         | 21/1875 [00:36<50:22,  1.63s/it, train_loss=2.32, train_acc=0.156, avg_tr_acc=0.098, avg_tr_loss=2.42] [A
Batch:   1%|1         | 22/1875 [00:36<50:24,  1.63s/it, train_loss=2.32, train_acc=0.156, avg_tr_acc=0.098, avg_tr_loss=2.42][A
Batch:   1%|1         | 22/1875 [00:38<50:24,  1.63s/it, train_loss=2.29, train_acc=0.0938, avg_tr_acc=0.0978, avg_tr_loss=2.41][A
Batch:   1%|1         | 23/1875 [00:38<50:21,  1.63s/it, train_loss=2.29, train_acc=0.0938, avg_tr_acc=0.0978, avg_tr_loss=2.41][A
Batch:   1%|1         | 23/1875 [00:39<50:21,  1.63s/it, train_loss=2.3, train_acc=0.156, avg_tr_acc=0.1, avg_tr_loss=2.41]     [A
Batch:   1%|1         | 24/1875 [00:39<50:17,  1.63s/it, train_loss=2.3, train_acc=0.156, avg_tr_acc=0.1, avg_tr_loss=2.41][A
Batch:   1%|1         | 24/1875 [00:41<50:17,  1.63s/it, train_loss=2.27, train_acc=0.188, avg_tr_acc=0.104, avg_tr_loss=2.4][A
Batch:   1%|1         | 25/1875 [00:41<50:15,  1.63s/it, train_loss=2.27, train_acc=0.188, avg_tr_acc=0.104, avg_tr_loss=2.4][A
Batch:   1%|1         | 25/1875 [00:43<50:15,  1.63s/it, train_loss=2.3, train_acc=0.125, avg_tr_acc=0.105, avg_tr_loss=2.4] [A
Batch:   1%|1         | 26/1875 [00:43<50:14,  1.63s/it, train_loss=2.3, train_acc=0.125, avg_tr_acc=0.105, avg_tr_loss=2.4][A
Batch:   1%|1         | 26/1875 [00:44<50:14,  1.63s/it, train_loss=2.28, train_acc=0.188, avg_tr_acc=0.108, avg_tr_loss=2.4][A
Batch:   1%|1         | 27/1875 [00:44<50:13,  1.63s/it, train_loss=2.28, train_acc=0.188, avg_tr_acc=0.108, avg_tr_loss=2.4][A
