/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
/geode2/home/u080/skarukas/Carbonate/SITH/models/logpolar/lptransform.py:158: UserWarning: Use of index_put_ on expanded tensors is deprecated. Please clone() the tensor before performing this operation. This also applies to advanced indexing e.g. tensor[indices] = tensor (Triggered internally at  ../aten/src/ATen/native/TensorAdvancedIndexing.cpp:395.)
  tau[tau <= 0] = 0
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:  13%|#2        | 951/7500 [05:48<39:52,  2.74it/s, train_loss=1.14, train_acc=0.5, avg_tr_acc=0.543, avg_tr_loss=2.55][A
Batch:  13%|#3        | 979/7500 [05:58<39:42,  2.74it/s, train_loss=0.761, train_acc=0.875, avg_tr_acc=0.55, avg_tr_loss=2.5][A
Batch:  13%|#3        | 1007/7500 [06:08<39:31,  2.74it/s, train_loss=0.135, train_acc=1, avg_tr_acc=0.556, avg_tr_loss=2.45] [A
Batch:  14%|#3        | 1035/7500 [06:18<39:21,  2.74it/s, train_loss=0.316, train_acc=1, avg_tr_acc=0.563, avg_tr_loss=2.4] [A
Batch:  14%|#4        | 1063/7500 [06:28<39:11,  2.74it/s, train_loss=0.574, train_acc=0.875, avg_tr_acc=0.568, avg_tr_loss=2.36][A
Batch:  15%|#4        | 1091/7500 [06:39<39:00,  2.74it/s, train_loss=0.936, train_acc=0.625, avg_tr_acc=0.575, avg_tr_loss=2.31][A
Batch:  15%|#4        | 1119/7500 [06:49<38:50,  2.74it/s, train_loss=0.126, train_acc=0.875, avg_tr_acc=0.582, avg_tr_loss=2.27][A
Batch:  15%|#5        | 1147/7500 [06:59<38:40,  2.74it/s, train_loss=0.203, train_acc=1, avg_tr_acc=0.588, avg_tr_loss=2.23]    [A
Batch:  16%|#5        | 1175/7500 [07:09<38:29,  2.74it/s, train_loss=1.21, train_acc=0.625, avg_tr_acc=0.594, avg_tr_loss=2.19][A
Batch:  16%|#5        | 1175/7500 [07:19<38:29,  2.74it/s, train_loss=0.522, train_acc=0.625, avg_tr_acc=0.599, avg_tr_loss=2.15][A
