/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   6%|6         | 586/9158 [05:42<1:20:06,  1.78it/s, train_loss=2.13, train_acc=0.375, avg_tr_acc=0.175, avg_tr_loss=4.55][A
Batch:   7%|6         | 605/9158 [05:52<1:19:53,  1.78it/s, train_loss=2.62, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=4.51][A
Batch:   7%|6         | 623/9158 [06:02<1:19:57,  1.78it/s, train_loss=2.18, train_acc=0.25, avg_tr_acc=0.176, avg_tr_loss=4.46] [A
Batch:   7%|6         | 641/9158 [06:13<1:20:02,  1.77it/s, train_loss=3.31, train_acc=0.25, avg_tr_acc=0.176, avg_tr_loss=4.42][A
Batch:   7%|7         | 659/9158 [06:23<1:19:35,  1.78it/s, train_loss=3.56, train_acc=0.375, avg_tr_acc=0.177, avg_tr_loss=4.39][A
Batch:   7%|7         | 677/9158 [06:33<1:19:17,  1.78it/s, train_loss=5.15, train_acc=0.125, avg_tr_acc=0.177, avg_tr_loss=4.35][A
Batch:   8%|7         | 695/9158 [06:43<1:19:27,  1.78it/s, train_loss=3.88, train_acc=0.125, avg_tr_acc=0.177, avg_tr_loss=4.33][A
Batch:   8%|7         | 714/9158 [06:54<1:18:45,  1.79it/s, train_loss=2.92, train_acc=0.125, avg_tr_acc=0.177, avg_tr_loss=4.29][A
Batch:   8%|8         | 733/9158 [07:04<1:18:05,  1.80it/s, train_loss=2.7, train_acc=0, avg_tr_acc=0.178, avg_tr_loss=4.27]     [A
Batch:   8%|8         | 752/9158 [07:14<1:17:35,  1.81it/s, train_loss=2.22, train_acc=0, avg_tr_acc=0.18, avg_tr_loss=4.23][A
Batch:   8%|8         | 771/9158 [07:25<1:17:41,  1.80it/s, train_loss=2.76, train_acc=0.125, avg_tr_acc=0.179, avg_tr_loss=4.23][A
Batch:   9%|8         | 790/9158 [07:35<1:17:16,  1.80it/s, train_loss=4.74, train_acc=0, avg_tr_acc=0.179, avg_tr_loss=4.2]     [A
Batch:   9%|8         | 809/9158 [07:46<1:16:59,  1.81it/s, train_loss=5.01, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=4.2][A
Batch:   9%|9         | 828/9158 [07:56<1:16:46,  1.81it/s, train_loss=2.62, train_acc=0.125, avg_tr_acc=0.179, avg_tr_loss=4.16][A
Batch:   9%|9         | 847/9158 [08:07<1:16:43,  1.81it/s, train_loss=2.94, train_acc=0.125, avg_tr_acc=0.18, avg_tr_loss=4.14] [A
Batch:   9%|9         | 866/9158 [08:17<1:16:24,  1.81it/s, train_loss=1.94, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=4.11] [A
Batch:  10%|9         | 885/9158 [08:28<1:15:36,  1.82it/s, train_loss=2.8, train_acc=0.125, avg_tr_acc=0.18, avg_tr_loss=4.08][A
Batch:  10%|9         | 904/9158 [08:38<1:15:06,  1.83it/s, train_loss=3.64, train_acc=0.375, avg_tr_acc=0.179, avg_tr_loss=4.05][A
Batch:  10%|#         | 923/9158 [08:48<1:14:47,  1.83it/s, train_loss=2.65, train_acc=0.125, avg_tr_acc=0.18, avg_tr_loss=4.02] [A
Batch:  10%|#         | 942/9158 [08:59<1:14:41,  1.83it/s, train_loss=3.45, train_acc=0.375, avg_tr_acc=0.179, avg_tr_loss=4]  [A
Batch:  10%|#         | 961/9158 [09:09<1:14:31,  1.83it/s, train_loss=2.08, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=3.98][A
Batch:  11%|#         | 980/9158 [09:19<1:13:56,  1.84it/s, train_loss=2.34, train_acc=0.125, avg_tr_acc=0.179, avg_tr_loss=3.96][A
Batch:  11%|#         | 999/9158 [09:29<1:13:30,  1.85it/s, train_loss=2.71, train_acc=0.125, avg_tr_acc=0.179, avg_tr_loss=3.93][A
Batch:  11%|#         | 999/9158 [09:40<1:13:30,  1.85it/s, train_loss=2.26, train_acc=0, avg_tr_acc=0.178, avg_tr_loss=3.91]    [A
Batch:  11%|#1        | 1018/9158 [09:40<1:13:40,  1.84it/s, train_loss=2.87, train_acc=0.125, avg_tr_acc=0.178, avg_tr_loss=3.91][A
Batch:  11%|#1        | 1037/9158 [09:50<1:13:19,  1.85it/s, train_loss=2.07, train_acc=0.125, avg_tr_acc=0.179, avg_tr_loss=3.89][A
Batch:  12%|#1        | 1056/9158 [10:00<1:12:45,  1.86it/s, train_loss=2.11, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=3.87]  [A
Batch:  12%|#1        | 1075/9158 [10:10<1:12:36,  1.86it/s, train_loss=2.18, train_acc=0.125, avg_tr_acc=0.18, avg_tr_loss=3.85][A
