/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:  13%|#2        | 1015/7859 [05:54<39:48,  2.87it/s, train_loss=1.97, train_acc=0.125, avg_tr_acc=0.167, avg_tr_loss=2.54][A
Batch:  13%|#3        | 1044/7859 [06:04<39:38,  2.86it/s, train_loss=2.62, train_acc=0.25, avg_tr_acc=0.168, avg_tr_loss=2.53] [A
Batch:  14%|#3        | 1073/7859 [06:14<39:28,  2.87it/s, train_loss=2.32, train_acc=0, avg_tr_acc=0.169, avg_tr_loss=2.52]   [A
Batch:  14%|#4        | 1102/7859 [06:24<39:18,  2.87it/s, train_loss=2.53, train_acc=0.375, avg_tr_acc=0.169, avg_tr_loss=2.51][A
Batch:  14%|#4        | 1131/7859 [06:34<39:08,  2.87it/s, train_loss=2.41, train_acc=0.25, avg_tr_acc=0.17, avg_tr_loss=2.51]  [A
Batch:  15%|#4        | 1160/7859 [06:44<38:58,  2.86it/s, train_loss=1.95, train_acc=0, avg_tr_acc=0.17, avg_tr_loss=2.5]    [A
Batch:  15%|#5        | 1189/7859 [06:55<38:48,  2.86it/s, train_loss=1.94, train_acc=0.5, avg_tr_acc=0.17, avg_tr_loss=2.49][A
Batch:  15%|#5        | 1218/7859 [07:05<38:38,  2.86it/s, train_loss=2.46, train_acc=0.125, avg_tr_acc=0.169, avg_tr_loss=2.48][A
Batch:  16%|#5        | 1247/7859 [07:15<38:28,  2.86it/s, train_loss=2.85, train_acc=0.25, avg_tr_acc=0.17, avg_tr_loss=2.48]  [A
Batch:  16%|#6        | 1276/7859 [07:25<38:17,  2.86it/s, train_loss=2.01, train_acc=0, avg_tr_acc=0.17, avg_tr_loss=2.47]   [A
Batch:  17%|#6        | 1305/7859 [07:35<38:08,  2.86it/s, train_loss=1.84, train_acc=0.25, avg_tr_acc=0.171, avg_tr_loss=2.47][A
Batch:  17%|#6        | 1334/7859 [07:45<37:57,  2.86it/s, train_loss=2.36, train_acc=0.125, avg_tr_acc=0.171, avg_tr_loss=2.46][A
Batch:  17%|#7        | 1363/7859 [07:55<37:47,  2.86it/s, train_loss=1.85, train_acc=0.375, avg_tr_acc=0.173, avg_tr_loss=2.46][A
Batch:  18%|#7        | 1392/7859 [08:05<37:37,  2.86it/s, train_loss=2.13, train_acc=0.125, avg_tr_acc=0.172, avg_tr_loss=2.45][A
Batch:  18%|#8        | 1421/7859 [08:16<37:27,  2.86it/s, train_loss=2.23, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=2.45]    [A
Batch:  18%|#8        | 1450/7859 [08:26<37:17,  2.86it/s, train_loss=1.96, train_acc=0.375, avg_tr_acc=0.175, avg_tr_loss=2.44][A
Batch:  19%|#8        | 1479/7859 [08:36<37:07,  2.86it/s, train_loss=1.87, train_acc=0.375, avg_tr_acc=0.175, avg_tr_loss=2.44][A
Batch:  19%|#9        | 1508/7859 [08:46<36:57,  2.86it/s, train_loss=2.14, train_acc=0.125, avg_tr_acc=0.176, avg_tr_loss=2.43][A
Batch:  20%|#9        | 1537/7859 [08:56<36:47,  2.86it/s, train_loss=2.48, train_acc=0, avg_tr_acc=0.177, avg_tr_loss=2.43]    [A
Batch:  20%|#9        | 1566/7859 [09:06<36:37,  2.86it/s, train_loss=2.75, train_acc=0, avg_tr_acc=0.177, avg_tr_loss=2.43][A
Batch:  20%|##        | 1595/7859 [09:16<36:26,  2.86it/s, train_loss=2.29, train_acc=0, avg_tr_acc=0.177, avg_tr_loss=2.42][A
Batch:  21%|##        | 1624/7859 [09:26<36:16,  2.86it/s, train_loss=1.66, train_acc=0.375, avg_tr_acc=0.178, avg_tr_loss=2.42][A
Batch:  21%|##1       | 1653/7859 [09:37<36:06,  2.87it/s, train_loss=2.22, train_acc=0.25, avg_tr_acc=0.178, avg_tr_loss=2.42] [A
Batch:  21%|##1       | 1682/7859 [09:47<35:56,  2.86it/s, train_loss=2.28, train_acc=0.125, avg_tr_acc=0.178, avg_tr_loss=2.41][A
Batch:  22%|##1       | 1711/7859 [09:57<35:46,  2.86it/s, train_loss=2.15, train_acc=0.125, avg_tr_acc=0.178, avg_tr_loss=2.41][A
Batch:  22%|##2       | 1740/7859 [10:07<35:35,  2.86it/s, train_loss=2.13, train_acc=0.25, avg_tr_acc=0.179, avg_tr_loss=2.4]  [A
Batch:  23%|##2       | 1769/7859 [10:17<35:25,  2.86it/s, train_loss=2.2, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=2.4]  [A
Batch:  23%|##2       | 1798/7859 [10:27<35:15,  2.86it/s, train_loss=2.64, train_acc=0.25, avg_tr_acc=0.18, avg_tr_loss=2.4][A
