/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:  11%|#         | 980/9158 [05:53<49:08,  2.77it/s, train_loss=2.23, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=2.87][A
Batch:  11%|#1        | 1008/9158 [06:03<48:58,  2.77it/s, train_loss=2.05, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=2.86][A
Batch:  11%|#1        | 1036/9158 [06:14<48:48,  2.77it/s, train_loss=2.67, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=2.85][A
Batch:  12%|#1        | 1064/9158 [06:24<48:37,  2.77it/s, train_loss=2.02, train_acc=0.375, avg_tr_acc=0.173, avg_tr_loss=2.85][A
Batch:  12%|#1        | 1092/9158 [06:34<48:32,  2.77it/s, train_loss=2.63, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=2.84][A
Batch:  12%|#2        | 1120/9158 [06:44<48:22,  2.77it/s, train_loss=2.12, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=2.83] [A
Batch:  13%|#2        | 1148/9158 [06:54<48:11,  2.77it/s, train_loss=2.68, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=2.82][A
Batch:  13%|#2        | 1176/9158 [07:04<48:01,  2.77it/s, train_loss=2.51, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=2.81][A
Batch:  13%|#3        | 1204/9158 [07:14<47:49,  2.77it/s, train_loss=2.06, train_acc=0.375, avg_tr_acc=0.174, avg_tr_loss=2.8] [A
Batch:  13%|#3        | 1232/9158 [07:24<47:37,  2.77it/s, train_loss=2.51, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=2.79][A
