/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   6%|6         | 560/9158 [05:42<1:27:27,  1.64it/s, train_loss=2.58, train_acc=0.125, avg_tr_acc=0.151, avg_tr_loss=2.68][A
Batch:   6%|6         | 577/9158 [05:52<1:27:16,  1.64it/s, train_loss=2.81, train_acc=0.125, avg_tr_acc=0.151, avg_tr_loss=2.67][A
Batch:   6%|6         | 594/9158 [06:02<1:27:06,  1.64it/s, train_loss=2.35, train_acc=0.25, avg_tr_acc=0.152, avg_tr_loss=2.66] [A
Batch:   7%|6         | 611/9158 [06:13<1:26:56,  1.64it/s, train_loss=2.62, train_acc=0.125, avg_tr_acc=0.151, avg_tr_loss=2.66][A
Batch:   7%|6         | 628/9158 [06:23<1:26:45,  1.64it/s, train_loss=2.39, train_acc=0, avg_tr_acc=0.151, avg_tr_loss=2.65]    [A
Batch:   7%|7         | 645/9158 [06:33<1:26:34,  1.64it/s, train_loss=2.65, train_acc=0.125, avg_tr_acc=0.152, avg_tr_loss=2.64][A
Batch:   7%|7         | 662/9158 [06:44<1:26:25,  1.64it/s, train_loss=2.26, train_acc=0, avg_tr_acc=0.153, avg_tr_loss=2.63]    [A
Batch:   7%|7         | 679/9158 [06:54<1:26:14,  1.64it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.152, avg_tr_loss=2.62][A
Batch:   8%|7         | 696/9158 [07:05<1:26:04,  1.64it/s, train_loss=2.02, train_acc=0.5, avg_tr_acc=0.152, avg_tr_loss=2.62]  [A
Batch:   8%|7         | 713/9158 [07:15<1:25:53,  1.64it/s, train_loss=2.39, train_acc=0.125, avg_tr_acc=0.153, avg_tr_loss=2.61][A
Batch:   8%|7         | 730/9158 [07:25<1:25:42,  1.64it/s, train_loss=2.27, train_acc=0.125, avg_tr_acc=0.154, avg_tr_loss=2.6] [A
Batch:   8%|8         | 747/9158 [07:36<1:25:31,  1.64it/s, train_loss=2.63, train_acc=0, avg_tr_acc=0.154, avg_tr_loss=2.6]    [A
Batch:   8%|8         | 764/9158 [07:46<1:25:21,  1.64it/s, train_loss=2.49, train_acc=0.25, avg_tr_acc=0.157, avg_tr_loss=2.59][A
Batch:   9%|8         | 781/9158 [07:56<1:25:11,  1.64it/s, train_loss=2.47, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.59][A
Batch:   9%|8         | 798/9158 [08:07<1:25:00,  1.64it/s, train_loss=2.22, train_acc=0.25, avg_tr_acc=0.157, avg_tr_loss=2.58] [A
Batch:   9%|8         | 815/9158 [08:17<1:24:50,  1.64it/s, train_loss=2.31, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.58][A
Batch:   9%|9         | 832/9158 [08:28<1:24:40,  1.64it/s, train_loss=2.33, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.57][A
Batch:   9%|9         | 849/9158 [08:38<1:24:29,  1.64it/s, train_loss=2.07, train_acc=0.25, avg_tr_acc=0.157, avg_tr_loss=2.57] [A
Batch:   9%|9         | 866/9158 [08:48<1:24:19,  1.64it/s, train_loss=2.61, train_acc=0, avg_tr_acc=0.158, avg_tr_loss=2.56]   [A
Batch:  10%|9         | 883/9158 [08:59<1:24:08,  1.64it/s, train_loss=2.14, train_acc=0.125, avg_tr_acc=0.159, avg_tr_loss=2.56][A
Batch:  10%|9         | 900/9158 [09:09<1:23:58,  1.64it/s, train_loss=2.4, train_acc=0.625, avg_tr_acc=0.159, avg_tr_loss=2.55] [A
