/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 29/9158 [00:10<53:29,  2.84it/s, train_loss=3.42, train_acc=0.125, avg_tr_acc=0.159, avg_tr_loss=4.29][A
Batch:   1%|          | 59/9158 [00:20<52:05,  2.91it/s, train_loss=3.21, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=3.47][A
Batch:   1%|          | 89/9158 [00:30<51:32,  2.93it/s, train_loss=2.43, train_acc=0.125, avg_tr_acc=0.156, avg_tr_loss=3.16][A
Batch:   1%|1         | 119/9158 [00:40<51:10,  2.94it/s, train_loss=1.99, train_acc=0.25, avg_tr_acc=0.16, avg_tr_loss=2.95] [A
Batch:   2%|1         | 149/9158 [00:50<50:53,  2.95it/s, train_loss=2.19, train_acc=0.375, avg_tr_acc=0.166, avg_tr_loss=2.84][A
Batch:   2%|1         | 179/9158 [01:00<50:39,  2.95it/s, train_loss=2.93, train_acc=0, avg_tr_acc=0.17, avg_tr_loss=2.74]     [A
Batch:   2%|2         | 209/9158 [01:11<50:27,  2.96it/s, train_loss=2.16, train_acc=0.5, avg_tr_acc=0.17, avg_tr_loss=2.68][A
Batch:   3%|2         | 239/9158 [01:21<50:15,  2.96it/s, train_loss=2.43, train_acc=0.25, avg_tr_acc=0.168, avg_tr_loss=2.63][A
Batch:   3%|2         | 269/9158 [01:31<50:05,  2.96it/s, train_loss=2.6, train_acc=0.125, avg_tr_acc=0.167, avg_tr_loss=2.6] [A
